Tissue	ENSG	ENSPcanon	cMDT	RNAseqAliquotID	GTExMDT	TotalRelevantGTExSamples	GTExMDTmedianEnrichment	Pvalue	Qvalue	NumberOfGTExMDT	cMDTenrichment	GTExMDTmedianRelExpression	cMDTrelExpression	TotalNumberOfSTRINGint	cMDTnumberOfUniqMissedInt	NumberOfCommonMissedInt	Pfam1	Domain1	Region1	Pfam2	Domain2	ENSPcanon2	StringScore	DIMAscore	ENSG2	GeneName1	GeneName2	STRINGintN1	STRINGdensityScore1	STRINGdensityRank1	STRINGintN2	STRINGdensityScore2	STRINGdensityRank2
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000411532	981	1	ENSG00000131747	RECQL	TOP2A	31	2430829.5880	0.698616600790514	40	3848074.4863	0.761139058569889
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF00270	DEAD	ENSP00000267430	983	1	ENSG00000187790	RECQL	FANCM	31	2430829.5880	0.698616600790514	49	5383216.9099	0.797610492274524
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF00271	Helicase_C	ENSP00000361043	930	1	ENSG00000085999	RECQL	RAD54L	31	2430829.5880	0.698616600790514	8	150278.8054	0.295903701042041
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000321636	966	1	ENSG00000177302	RECQL	TOP3A	31	2430829.5880	0.698616600790514	42	2799993.7515	0.718289615522817
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000349705	944	1	ENSG00000100038	RECQL	TOP3B	31	2430829.5880	0.698616600790514	7	216932.3559	0.333093783686669
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000396704	982	1	ENSG00000077097	RECQL	TOP2B	31	2430829.5880	0.698616600790514	34	3161365.8260	0.733201581027668
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000539672	SRR19243476	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.037	0.000	0.492	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000411532	981	1	ENSG00000131747	RECQL	TOP2A	31	2430829.5880	0.698616600790514	40	3848074.4863	0.761139058569889
Alzheimer	ENSG00000004776	ENSP00000004982	ENST00000587965	SRR19243460	ENST00000004982:6	8	2.819	7.812e-03	7.812e-03	6	2.280	0.228	0.574	0	-1	-1	-	-	-	-	-	-	-	-	-	HSPB6	-	0	0	0	0	0	0
Alzheimer	ENSG00000004776	ENSP00000004982	ENST00000587965	SRR19243470	ENST00000004982:6	8	2.819	7.812e-03	7.812e-03	6	2.668	0.228	0.689	0	-1	-1	-	-	-	-	-	-	-	-	-	HSPB6	-	0	0	0	0	0	0
Alzheimer	ENSG00000005075	ENSP00000292614	ENST00000393794	SRR19243443	ENST00000292614:5	8	17.643	7.812e-03	7.812e-03	5	2.095	0.238	0.677	14	-1	-1	-	-	-	-	-	-	-	-	-	POLR2J	-	196	43315960.9542	0.926158821415738	0	0	0
Alzheimer	ENSG00000005075	ENSP00000292614	ENST00000393794	SRR19243447	ENST00000292614:5	8	17.643	7.812e-03	7.812e-03	5	2.041	0.238	0.671	14	-1	-1	-	-	-	-	-	-	-	-	-	POLR2J	-	196	43315960.9542	0.926158821415738	0	0	0
Alzheimer	ENSG00000006007	ENSP00000261386	ENST00000564172	SRR19243470	ENST00000353258:6	8	2.483	7.812e-03	7.812e-03	6	2.501	0.246	0.557	0	-1	-1	-	-	-	-	-	-	-	-	-	GDE1	-	1	17301.0169	0.124326266618757	0	0	0
Alzheimer	ENSG00000006007	ENSP00000261386	ENST00000564172	SRR19243476	ENST00000353258:6	8	2.483	7.812e-03	7.812e-03	6	3.092	0.246	0.739	0	-1	-1	-	-	-	-	-	-	-	-	-	GDE1	-	1	17301.0169	0.124326266618757	0	0	0
Alzheimer	ENSG00000006118	ENSP00000005286	ENST00000453848	SRR19243472	ENST00000005286:5	8	3.907	7.812e-03	7.812e-03	5	2.785	0.143	0.399	0	-1	-1	-	-	-	-	-	-	-	-	-	TMEM132A	-	0	0	0	0	0	0
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292301	919	1	ENSG00000121807	CX3CL1	CCR2	9	6752711.6580	0.815756378009342	191	173492049.6308	0.962540424002875
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292303	905	1	ENSG00000160791	CX3CL1	CCR5	9	6752711.6580	0.815756378009342	226	185083844.9191	0.965594681997844
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000295683	906	1	ENSG00000163464	CX3CL1	CXCR1	9	6752711.6580	0.815756378009342	194	175783479.8069	0.964786201940352
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000296140	936	1	ENSG00000163823	CX3CL1	CCR1	9	6752711.6580	0.815756378009342	196	173406235.0517	0.962360761767876
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000319635	903	1	ENSG00000180871	CX3CL1	CXCR2	9	6752711.6580	0.815756378009342	195	175807470.9070	0.964876033057851
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000351059	999	1	ENSG00000168329	CX3CL1	CX3CR1	9	6752711.6580	0.815756378009342	4	2028187.5091	0.670050305425799
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000362795	916	1	ENSG00000186810	CX3CL1	CXCR3	9	6752711.6580	0.815756378009342	198	174491284.6506	0.964337046352857
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243471	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.180	0.103	0.559	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000441600	925	1	ENSG00000183625	CX3CL1	CCR3	9	6752711.6580	0.815756378009342	206	183263784.7701	0.965325188645347
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292301	919	1	ENSG00000121807	CX3CL1	CCR2	9	6752711.6580	0.815756378009342	191	173492049.6308	0.962540424002875
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292303	905	1	ENSG00000160791	CX3CL1	CCR5	9	6752711.6580	0.815756378009342	226	185083844.9191	0.965594681997844
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000295683	906	1	ENSG00000163464	CX3CL1	CXCR1	9	6752711.6580	0.815756378009342	194	175783479.8069	0.964786201940352
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000296140	936	1	ENSG00000163823	CX3CL1	CCR1	9	6752711.6580	0.815756378009342	196	173406235.0517	0.962360761767876
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000319635	903	1	ENSG00000180871	CX3CL1	CXCR2	9	6752711.6580	0.815756378009342	195	175807470.9070	0.964876033057851
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000351059	999	1	ENSG00000168329	CX3CL1	CX3CR1	9	6752711.6580	0.815756378009342	4	2028187.5091	0.670050305425799
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000362795	916	1	ENSG00000186810	CX3CL1	CXCR3	9	6752711.6580	0.815756378009342	198	174491284.6506	0.964337046352857
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243472	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	3.553	0.103	0.645	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000441600	925	1	ENSG00000183625	CX3CL1	CCR3	9	6752711.6580	0.815756378009342	206	183263784.7701	0.965325188645347
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292301	919	1	ENSG00000121807	CX3CL1	CCR2	9	6752711.6580	0.815756378009342	191	173492049.6308	0.962540424002875
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000292303	905	1	ENSG00000160791	CX3CL1	CCR5	9	6752711.6580	0.815756378009342	226	185083844.9191	0.965594681997844
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000295683	906	1	ENSG00000163464	CX3CL1	CXCR1	9	6752711.6580	0.815756378009342	194	175783479.8069	0.964786201940352
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000296140	936	1	ENSG00000163823	CX3CL1	CCR1	9	6752711.6580	0.815756378009342	196	173406235.0517	0.962360761767876
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000319635	903	1	ENSG00000180871	CX3CL1	CXCR2	9	6752711.6580	0.815756378009342	195	175807470.9070	0.964876033057851
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000351059	999	1	ENSG00000168329	CX3CL1	CX3CR1	9	6752711.6580	0.815756378009342	4	2028187.5091	0.670050305425799
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000362795	916	1	ENSG00000186810	CX3CL1	CXCR3	9	6752711.6580	0.815756378009342	198	174491284.6506	0.964337046352857
Alzheimer	ENSG00000006210	ENSP00000006053	ENST00000564948	SRR19243476	ENST00000006053:7	8	7.646	7.812e-03	7.812e-03	7	2.696	0.103	0.671	8	8	0	PF00048	IL8	36-89	PF00001	7tm_1	ENSP00000441600	925	1	ENSG00000183625	CX3CL1	CCR3	9	6752711.6580	0.815756378009342	206	183263784.7701	0.965325188645347
Alzheimer	ENSG00000006757	ENSP00000370430	ENST00000444736	SRR19243447	ENST00000537427:5	8	2.909	7.812e-03	7.812e-03	5	2.418	0.001	0.612	0	-1	-1	-	-	-	-	-	-	-	-	-	PNPLA4	-	18	165232.1845	0.303898670499461	0	0	0
Alzheimer	ENSG00000006757	ENSP00000370430	ENST00000444736	SRR19243465	ENST00000537427:5	8	2.909	7.812e-03	7.812e-03	5	3.496	0.001	0.733	0	-1	-1	-	-	-	-	-	-	-	-	-	PNPLA4	-	18	165232.1845	0.303898670499461	0	0	0
Alzheimer	ENSG00000006757	ENSP00000370430	ENST00000444736	SRR19243467	ENST00000537427:5	8	2.909	7.812e-03	7.812e-03	5	3.358	0.001	0.697	0	-1	-1	-	-	-	-	-	-	-	-	-	PNPLA4	-	18	165232.1845	0.303898670499461	0	0	0
Alzheimer	ENSG00000006757	ENSP00000370430	ENST00000444736	SRR19243470	ENST00000537427:5	8	2.909	7.812e-03	7.812e-03	5	5.353	0.001	1.000	0	-1	-1	-	-	-	-	-	-	-	-	-	PNPLA4	-	18	165232.1845	0.303898670499461	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243449	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	2.892	0.000	0.524	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243455	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	3.075	0.000	0.566	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243463	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	6.019	0.000	0.793	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243465	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	4.412	0.000	0.602	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243467	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	3.428	0.000	0.577	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243471	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	2.529	0.000	0.454	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000007376	ENSP00000007264	ENST00000565809	SRR19243472	ENST00000007264:6	8	3.451	7.812e-03	7.812e-03	6	3.310	0.000	0.630	0	-1	-1	-	-	-	-	-	-	-	-	-	RPUSD1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009307	ENSP00000407724	ENST00000525132	SRR19243476	ENST00000339438:4	8	2.414	7.812e-03	7.812e-03	4	2.046	0.137	0.369	4	4	0	PF00313	CSD	73-135	PF00076	RRM_1	ENSP00000290341	924	1	ENSG00000159217	CSDE1	IGF2BP1	11	3157354.9873	0.732842256557672	14	3303644.2040	0.738681279195113
Alzheimer	ENSG00000009307	ENSP00000407724	ENST00000525132	SRR19243476	ENST00000339438:4	8	2.414	7.812e-03	7.812e-03	4	2.046	0.137	0.369	4	4	0	PF00313	CSD	73-135	PF00076	RRM_1	ENSP00000313007	985	1	ENSG00000070756	CSDE1	PABPC1	11	3157354.9873	0.732842256557672	206	70451720.7580	0.936130075458139
Alzheimer	ENSG00000009307	ENSP00000407724	ENST00000525132	SRR19243476	ENST00000339438:4	8	2.414	7.812e-03	7.812e-03	4	2.046	0.137	0.369	4	4	0	PF00313	CSD	73-135	PF00076	RRM_1	ENSP00000358635	980	1	ENSG00000135316	CSDE1	SYNCRIP	11	3157354.9873	0.732842256557672	13	3246513.5031	0.735896514552641
Alzheimer	ENSG00000009307	ENSP00000407724	ENST00000525132	SRR19243476	ENST00000339438:4	8	2.414	7.812e-03	7.812e-03	4	2.046	0.137	0.369	4	4	0	PF00313	CSD	73-135	PF00313	CSD	ENSP00000361626	927	1	ENSG00000065978	CSDE1	YBX1	11	3157354.9873	0.732842256557672	117	30584709.3558	0.913312971613367
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243439	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	3.883	0.009	0.795	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243444	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	3.816	0.009	0.792	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243453	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	3.700	0.009	0.787	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243455	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	4246.812	0.009	1.000	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243458	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	4.300	0.009	0.811	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243461	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	3.508	0.009	0.659	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000009694	ENSP00000403954	ENST00000371130	SRR19243469	ENST00000422452:5	8	35.928	7.812e-03	7.812e-03	5	3.974	0.009	0.799	0	-1	-1	-	-	-	-	-	-	-	-	-	TENM1	-	0	0	0	0	0	0
Alzheimer	ENSG00000010278	ENSP00000009180	ENST00000382515	SRR19243471	ENST00000009180:5	8	2.091	7.812e-03	7.812e-03	5	3.463	0.119	0.597	0	-1	-1	-	-	-	-	-	-	-	-	-	CD9	-	13	685873.7040	0.473499820337765	0	0	0
Alzheimer	ENSG00000010278	ENSP00000009180	ENST00000382515	SRR19243472	ENST00000009180:5	8	2.091	7.812e-03	7.812e-03	5	2.131	0.119	0.453	0	-1	-1	-	-	-	-	-	-	-	-	-	CD9	-	13	685873.7040	0.473499820337765	0	0	0
Alzheimer	ENSG00000011021	ENSP00000234488	ENST00000376497	SRR19243472	ENST00000346436:5	8	2.526	7.812e-03	7.812e-03	5	3.843	0.155	0.651	0	-1	-1	-	-	-	-	-	-	-	-	-	CLCN6	-	0	0	0	0	0	0
Alzheimer	ENSG00000011198	ENSP00000390849	ENST00000456453	SRR19243471	ENST00000458276:6	8	2.379	7.812e-03	7.812e-03	6	4.381	0.144	0.693	0	-1	-1	-	-	-	-	-	-	-	-	-	ABHD5	-	7	915554.2366	0.508264462809917	0	0	0
Alzheimer	ENSG00000011198	ENSP00000390849	ENST00000456453	SRR19243472	ENST00000458276:6	8	2.379	7.812e-03	7.812e-03	6	4.866	0.144	0.745	0	-1	-1	-	-	-	-	-	-	-	-	-	ABHD5	-	7	915554.2366	0.508264462809917	0	0	0
Alzheimer	ENSG00000011198	ENSP00000390849	ENST00000456453	SRR19243476	ENST00000458276:6	8	2.379	7.812e-03	7.812e-03	6	2.890	0.144	0.648	0	-1	-1	-	-	-	-	-	-	-	-	-	ABHD5	-	7	915554.2366	0.508264462809917	0	0	0
Alzheimer	ENSG00000011465	ENSP00000052754	ENST00000552962	SRR19243468	ENST00000550758:5	8	3.882	7.812e-03	7.812e-03	5	2.864	0.127	0.415	8	-1	-1	-	-	-	-	-	-	-	-	-	DCN	-	56	2708129.1388	0.713528566295365	0	0	0
Alzheimer	ENSG00000012174	ENSP00000368798	ENST00000365779	SRR19243471	ENST00000379484:6	8	3.919	7.812e-03	7.812e-03	6	4.633	0.181	0.822	0	-1	-1	-	-	-	-	-	-	-	-	-	MBTPS2	-	5	127000.5480	0.280901904419691	0	0	0
Alzheimer	ENSG00000012174	ENSP00000368798	ENST00000365779	SRR19243472	ENST00000379484:6	8	3.919	7.812e-03	7.812e-03	6	4.906	0.181	0.831	0	-1	-1	-	-	-	-	-	-	-	-	-	MBTPS2	-	5	127000.5480	0.280901904419691	0	0	0
Alzheimer	ENSG00000012174	ENSP00000368798	ENST00000365779	SRR19243476	ENST00000379484:6	8	3.919	7.812e-03	7.812e-03	6	2.767	0.181	0.735	0	-1	-1	-	-	-	-	-	-	-	-	-	MBTPS2	-	5	127000.5480	0.280901904419691	0	0	0
Alzheimer	ENSG00000012211	ENSP00000365494	ENST00000376310	SRR19243470	ENST00000536904:4	8	3.313	7.812e-03	7.812e-03	4	2.518	0.114	0.561	0	-1	-1	-	-	-	-	-	-	-	-	-	PRICKLE3	-	0	0	0	0	0	0
Alzheimer	ENSG00000012963	ENSP00000013070	ENST00000555113	SRR19243472	ENST00000013070:4	8	6.841	7.812e-03	7.812e-03	4	4.263	0.000	0.601	0	-1	-1	-	-	-	-	-	-	-	-	-	UBR7	-	2	21696.8614	0.135734818541143	0	0	0
Alzheimer	ENSG00000013523	ENSP00000251089	ENST00000556298	SRR19243472	ENST00000251089:6	8	3.362	7.812e-03	7.812e-03	6	2.969	0.191	0.748	0	-1	-1	-	-	-	-	-	-	-	-	-	ANGEL1	-	0	0	0	0	0	0
Alzheimer	ENSG00000021300	ENSP00000346127	ENST00000538227	SRR19243471	ENST00000227214:5	8	4.009	7.812e-03	7.812e-03	5	3.155	0.241	0.517	0	-1	-1	-	-	-	-	-	-	-	-	-	PLEKHB1	-	0	0	0	0	0	0
